total trips,total member,total casual
3123,1352,1771
647,593,54
299,284,15
1732,607,1125
501,480,21
181,168,13
274,265,9
1093,743,350
1479,605,874
1079,541,538
182,168,14
2722,2508,214
87,80,7
3379,2232,1147
401,322,79
308,292,16
471,354,117
994,325,669
395,391,4
276,274,2
399,313,86
4368,3186,1182
491,486,5
261,195,66
3374,2336,1038
2316,2174,142
604,516,88
1556,1497,59
1122,962,160
1701,1142,559
22,20,2
81,61,20
394,390,4
2285,1581,704
2107,1961,146
4335,2581,1754
652,618,34
1269,1105,164
2535,2213,322
457,452,5
73,73,0
835,698,137
60,60,0
1691,1644,47
709,681,28
1317,1221,96
422,383,39
4260,3002,1258
2349,833,1516
59,54,5
3165,2420,745
606,474,132
1197,881,316
1072,593,479
911,903,8
1262,1241,21
38,33,5
242,226,16
1074,1064,10
491,406,85
441,245,196
125,124,1
490,466,24
544,537,7
878,851,27
162,147,15
4174,2430,1744
224,219,5
828,603,225
62,60,2
3046,1627,1419
34,31,3
37,37,0
95,90,5
339,274,65
1763,1493,270
1947,1836,111
930,687,243
871,831,40
1547,1498,49
86,63,23
509,488,21
1142,832,310
44,36,8
1500,1295,205
4398,2945,1453
1261,909,352
717,674,43
1797,1597,200
804,683,121
5025,3181,1844
4464,1843,2621
443,400,43
267,259,8
422,320,102
2376,2249,127
302,111,191
1118,775,343
298,225,73
1906,1599,307
1326,1169,157
1017,956,61
406,189,217
936,852,84
676,484,192
1545,1393,152
26,26,0
4136,3020,1116
1743,1522,221
186,120,66
721,616,105
87,53,34
2288,1914,374
54,53,1
506,287,219
2823,2674,149
4726,2438,2288
335,245,90
508,389,119
73,55,18
1855,1581,274
3552,2455,1097
3546,2134,1412
1713,1522,191
1730,984,746
555,552,3
575,516,59
579,570,9
863,738,125
1545,1503,42
1482,1449,33
450,331,119
123,122,1
185,166,19
2827,2447,380
1399,1219,180
300,287,13
337,324,13
1660,1625,35
463,352,111
1281,486,795
1333,971,362
935,624,311
2309,1561,748
2337,1810,527
1131,708,423
4067,2645,1422
844,772,72
1729,1386,343
905,747,158
3233,1704,1529
2664,1696,968
239,183,56
523,404,119
198,114,84
1254,1051,203
353,350,3
32,31,1
3837,3079,758
3520,2081,1439
572,566,6
1437,1343,94
3483,3032,451
46,45,1
454,435,19
50,47,3
2540,1890,650
1058,769,289
80,57,23
1649,1106,543
1009,970,39
186,68,118
1309,1066,243
1679,1309,370
835,764,71
6310,3004,3306
1259,465,794
575,550,25
3295,1257,2038
14,14,0
971,965,6
1829,1709,120
1454,1121,333
1069,809,260
107,103,4
4017,1970,2047
474,352,122
1966,1009,957
112,109,3
1771,1287,484
491,486,5
658,520,138
2671,1494,1177
2120,1681,439
1132,916,216
134,126,8
392,191,201
1332,956,376
413,213,200
2860,2829,31
1473,1441,32
2462,2104,358
1744,1378,366
973,538,435
77,72,5
3547,2565,982
959,945,14
1340,1289,51
189,185,4
390,155,235
641,538,103
2282,2211,71
156,146,10
113,84,29
36,30,6
